# Cat 3 API Response Time — before-10x
commit: f352997523c783de760eb82468d1bd80caa6726d
date: 2026-05-21T19:06:37.340Z
condition: documents=6360 issues=4592 sprints=35 users=31 — snapshot-pinned (scripts/audit/db-restore.sh); API :3000 direct (no proxy)
knobs: warmup=10 budget=120 req/cell; concurrency 10/25/50
pg statement logging: OFF (reset after cat4)

## main_page   /api/documents?document_type=wiki
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 666.76 | 957.22 | 1257.71 | 661.84 | 1266.4 |   14.5 | 0
  25 | 1622.17 | 2480.96 | 2491.34 | 1541.97 | 2571.3 |   14.7 | 0
  50 | 3159.49 | 3701.42 | 4472.66 | 2733.69 | 4473.81 |   14.8 | 0

## view_document   /api/documents/5b021515-aed9-487d-9920-14f0a77d8049
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 13.75 | 23.53 | 32.09 | 14.52 |  32.09 |  669.5 | 0
  25 | 30.45 | 35.49 | 37.88 | 29.42 |  38.59 |  788.8 | 0
  50 | 53.39 | 64.92 | 69.52 | 49.27 |  69.75 |  859.3 | 0

## list_issues   /api/issues
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 416.71 | 610.06 | 754.77 | 433.44 | 756.94 |   22.3 | 0
  25 | 995.36 | 1443.13 | 1659.55 | 989.74 | 1661.37 |   23.2 | 0
  50 | 2053.16 | 2714.82 | 2785.81 | 1890.85 | 3066.62 |   22.8 | 0

## sprint_board   /api/weeks
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 10.17 | 25.01 | 29.67 | 11.37 |  29.92 |  836.4 | 0
  25 | 19.95 | 25.36 | 34.26 | 19.98 |  36.77 | 1165.8 | 0
  50 | 39.81 | 50.11 | 53.32 | 37.73 |  53.56 |   1125 | 0

## search   /api/search/mentions?q=load
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 16.68 | 33.13 | 39.35 | 18.08 |  39.64 |    539 | 0
  25 | 39.79 |    48 | 51.49 | 39.44 |  54.62 |  584.4 | 0
  50 | 73.79 | 90.21 | 96.95 | 71.32 | 116.21 |    591 | 0

