# Cat 3 API Response Time — before
commit: 87e919f4c67268bc36d6c315d6204921c4253e2e
date: 2026-05-19T21:02:02.814Z
condition: documents=627 issues=328 sprints=35 users=31 — snapshot-pinned (scripts/audit/db-restore.sh); API :3000 direct (no proxy)
knobs: warmup=10 budget=120 req/cell; concurrency 10/25/50
pg statement logging: OFF (reset after cat4)

## main_page   /api/documents?document_type=wiki
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 |  75.2 | 111.55 | 122.77 | 77.51 | 125.42 |  124.5 | 0
  25 | 184.69 | 242.51 | 253.85 | 180.09 | 258.03 |  126.7 | 0
  50 | 353.14 | 419.83 | 454.61 | 309.52 | 462.72 |  131.6 | 0

## view_document   /api/documents/5b021515-aed9-487d-9920-14f0a77d8049
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 14.93 | 28.81 | 40.63 |    16 |  41.83 |  608.1 | 0
  25 | 33.05 | 44.02 | 48.38 | 34.08 |  48.81 |  681.1 | 0
  50 | 60.77 | 73.59 | 77.65 | 58.55 |  79.45 |    713 | 0

## list_issues   /api/issues
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 48.07 | 69.31 | 74.18 | 48.69 |  78.66 |  200.3 | 0
  25 | 104.38 | 122.64 | 142.98 | 100.72 | 161.92 |  228.7 | 0
  50 | 203.58 | 229.28 | 239.02 | 180.87 | 243.84 |  231.4 | 0

## sprint_board   /api/weeks
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 | 11.51 |  29.3 | 32.24 | 12.74 |  32.82 |  765.1 | 0
  25 | 24.24 | 29.17 |  29.9 | 24.13 |  30.83 |  972.5 | 0
  50 | 47.05 | 61.55 | 64.73 | 46.09 |  65.04 |  945.1 | 0

## search   /api/search/mentions?q=load
conc | P50ms | P95ms | P99ms | avg | max | req/s | errors
  10 |  7.75 | 20.44 | 27.65 |  8.91 |  28.28 | 1090.9 | 0
  25 | 16.93 | 20.59 | 22.31 | 17.18 |  22.74 | 1375.4 | 0
  50 | 37.79 | 47.33 | 58.45 |  37.2 |  58.86 | 1186.6 | 0

